datetime,wavelengths,mean,std,max,min,nans,nans_norm,nans_sum,nans_perc,nans_std
20200101105744,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[3.554754, 0.679005, 48.277073, 42.216045, 81.39636, 92.66745, 76.43395, 3.536065, 4.559921, 3.134884, 13.681358]","[2.890855, 0.385619, 17.789846, 14.013966, 26.298716, 27.884588, 17.274355, 2.895455, 3.661465, 1.076517, 4.430684]","[14.711617, 3.556224, 116.985, 86.18359, 175.30551, 185.18518, 118.362785, 20.19732, 24.183142, 6.987213, 25.72223]","[0.0, 0.0, 2.154653, 8.316874, 6.356106, 10.004003, 16.233513, 0.0, 0.0, 0.182998, 0.695195]","[3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0
20200101115743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[3.657488, 0.703888, 48.57767, 42.43121, 81.76579, 93.025795, 76.48845, 3.693532, 4.752142, 3.13508, 13.683186]","[2.850214, 0.395303, 18.140226, 14.273352, 26.822422, 28.454218, 17.537516, 2.926835, 3.696672, 1.081585, 4.483164]","[13.805214, 3.556224, 119.39314, 87.639046, 178.7911, 187.4083, 118.99321, 20.28078, 24.572742, 7.08703, 26.224318]","[0.0, 0.0, 2.154653, 8.524796, 5.740999, 8.892446, 15.287869, 0.0, 0.0, 0.207953, 0.656574]","[3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0
20200101125743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[3.447206, 0.683317, 48.37995, 42.29218, 81.43613, 92.764046, 76.28501, 3.585393, 4.588835, 3.131792, 13.648553]","[2.713255, 0.381105, 18.227076, 14.306552, 26.9965, 28.7355, 17.764292, 2.957858, 3.71048, 1.090384, 4.542982]","[13.224187, 3.556224, 116.85826, 85.97567, 175.51054, 185.4075, 118.362785, 20.28078, 24.350113, 7.103668, 26.26294]","[0.0, 0.0, 2.027909, 8.420834, 5.535963, 8.892446, 15.130263, 0.0, 0.0, 0.207953, 0.656574]","[3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0
20200101135744,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[3.004718, 0.628705, 47.757755, 41.89399, 80.48437, 91.77463, 75.87189, 3.271394, 4.146207, 3.125704, 13.585066]","[2.5138, 0.347404, 18.022078, 14.114613, 26.747177, 28.572681, 17.875788, 2.972022, 3.686353, 1.100272, 4.593684]","[12.968534, 3.424512, 110.52104, 83.064766, 168.74435, 177.84892, 115.84107, 20.19732, 23.376108, 7.037122, 26.031206]","[0.0, 0.0, 2.027909, 8.524796, 5.740999, 9.33707, 15.130263, 0.0, 0.0, 0.124772, 0.502086]","[3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0
20200101145743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[2.309786, 0.567072, 46.928444, 41.341534, 79.28353, 90.6644, 75.40613, 2.615751, 3.285067, 3.120639, 13.516601]","[2.153489, 0.306197, 17.583046, 13.736432, 26.14953, 28.07653, 17.8204, 2.760285, 3.429675, 1.108186, 4.618139]","[11.271934, 3.556224, 102.15592, 78.6984, 156.64725, 168.51184, 112.373726, 19.82175, 23.153479, 7.028804, 24.91117]","[0.0, 0.0, 2.027909, 8.524796, 5.535963, 8.447824, 14.815049, 0.0, 0.0, 0.13309, 0.57933]","[3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0
20200101155743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[1.707468, 0.515376, 46.027603, 40.7711, 77.952255, 89.31484, 74.849815, 2.084145, 2.573272, 3.115847, 13.466403]","[1.886896, 0.269943, 17.104458, 13.318446, 25.46575, 27.426165, 17.680962, 2.620078, 3.263091, 1.114717, 4.63635]","[11.574068, 3.428171, 94.678, 73.81224, 145.57533, 157.84091, 107.96073, 17.90217, 21.511585, 7.028804, 24.254597]","[0.0, 0.0, 1.647676, 8.628756, 5.330927, 8.003202, 14.184621, 0.0, 0.0, 0.141408, 0.540708]","[3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0
20200101165743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[1.278443, 0.477199, 45.24659, 40.250656, 76.803246, 88.21202, 74.38466, 1.635491, 2.002329, 3.11163, 13.406805]","[1.756113, 0.246409, 16.704634, 12.944142, 24.871681, 26.847544, 17.501974, 2.471336, 3.10348, 1.118375, 4.629962]","[10.737389, 3.054987, 83.65125, 69.03004, 136.14369, 151.39389, 104.49338, 17.15103, 20.927183, 7.020486, 24.215975]","[0.0, 0.0, 2.027909, 8.732716, 5.740999, 8.892446, 14.972655, 0.0, 0.0, 0.17468, 0.617952]","[3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0
20200101175743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[1.019531, 0.452785, 44.663338, 39.87098, 75.958496, 87.34383, 74.07577, 1.290795, 1.592748, 3.112889, 13.371408]","[1.719914, 0.234044, 16.371637, 12.634748, 24.372307, 26.328526, 17.30174, 2.289082, 2.907713, 1.120244, 4.612504]","[10.853594, 3.556224, 78.83497, 64.97556, 135.32355, 147.16998, 101.34124, 17.672655, 21.706387, 6.978895, 24.409084]","[0.0, 0.0, 2.027909, 8.524796, 5.535963, 8.670135, 14.342229, 0.0, 0.0, 0.149726, 0.617952]","[3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0
20200101185744,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[0.849142, 0.438586, 44.285957, 39.65028, 75.40059, 86.80385, 73.8595, 1.002222, 1.263076, 3.110432, 13.359097]","[1.719203, 0.230948, 16.157202, 12.430345, 24.04184, 25.99171, 17.12887, 2.07584, 2.672797, 1.118049, 4.593414]","[17.198414, 3.318411, 74.90589, 63.31219, 129.17247, 138.94446, 100.55321, 20.28078, 25.797203, 7.012168, 24.486328]","[0.0, 0.0, 1.901164, 8.524796, 5.535963, 8.225512, 14.027015, 0.0, 0.0, 0.166362, 0.617952]","[3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0
20200101195743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[0.686514, 0.427155, 44.029633, 39.46776, 75.03554, 86.41326, 73.73574, 0.735511, 0.95303, 3.111447, 13.348809]","[1.732883, 0.2313, 15.960641, 12.253405, 23.729284, 25.648844, 16.92296, 1.84293, 2.417413, 1.11303, 4.555958]","[17.96537, 3.556224, 70.216354, 63.208233, 119.12573, 131.38588, 99.60757, 20.28078, 25.68589, 6.945624, 24.563572]","[0.0, 0.0, 1.901164, 8.628756, 5.535963, 8.447824, 14.184621, 0.0, 0.0, 0.17468, 0.617952]","[3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565260.0, 3565259.0, 3565259.0, 3565259.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",1.0,6.597682007350557e-07,0.2874797872880345
