datetime,wavelengths,mean,std,max,min
20200101110021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[54.672546, 34.46566, 24.144894, 1.469266, 4.027926, 1.10615, 0.485932, 2.783348, 7.656036, 13.227072, 39.75636, 37.709835, 69.9856, 80.20592, 88.73716, 80.77863]","[84.29308, 59.376125, 40.41852, 4.720616, 6.651476, 1.88947, 0.406685, 1.016354, 2.605788, 4.388758, 14.237027, 11.664017, 21.961412, 24.083729, 24.582417, 18.663025]","[656.2327, 628.6211, 370.37128, 72.328224, 73.140335, 18.729204, 2.487076, 6.547606, 16.292883, 23.601843, 62.582947, 59.33453, 103.18826, 116.99408, 125.927246, 108.87302]","[-0.761351, -1.573456, -2.385563, -0.761351, -0.761351, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 1.674969, 8.983927, 5.7355, 8.17182, 10.608141, 14.668673]"
20200101120021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[71.753525, 44.221672, 31.184332, 1.674046, 4.943188, 1.311389, 0.514061, 2.788118, 7.67576, 13.269777, 40.14425, 37.986767, 70.58531, 80.82623, 89.30406, 81.11651]","[92.73704, 66.46535, 45.285362, 5.21037, 6.952667, 1.928908, 0.402687, 1.020679, 2.613798, 4.404601, 14.387441, 11.814442, 22.18378, 24.289833, 24.745895, 18.759308]","[664.3537, 519.7988, 320.83276, 72.328224, 52.025566, 11.420244, 2.487076, 6.547606, 16.292883, 25.226053, 66.64348, 59.33453, 108.87302, 123.49092, 133.2362, 112.93354]","[-0.761351, -1.573456, -1.573456, -0.761351, -0.761351, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 2.487076, 8.983927, 6.547606, 8.983927, 12.232351, 16.292883]"
20200101130021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[94.01192, 56.948235, 40.07897, 1.851214, 6.260675, 1.618151, 0.550639, 2.793695, 7.69331, 13.307309, 40.5318, 38.27896, 71.17303, 81.43408, 89.84807, 81.43063]","[102.0509, 75.09297, 51.193405, 5.677454, 7.627748, 2.050318, 0.40149, 1.026118, 2.625134, 4.42983, 14.616071, 12.029325, 22.51652, 24.6132, 25.015081, 18.92326]","[753.6855, 596.13684, 372.8076, 75.57665, 65.831375, 12.232351, 2.487076, 6.547606, 16.292883, 29.286585, 79.637184, 68.26769, 126.73935, 144.6057, 155.16307, 125.11514]","[-0.761351, -2.385563, -4.009775, -0.761351, -0.761351, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 2.487076, 8.983927, 7.359712, 9.796034, 13.044458, 17.10499]"
20200101140021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[119.96037, 71.97494, 50.50672, 2.076434, 8.056602, 2.085954, 0.587461, 2.798418, 7.705866, 13.332537, 40.867764, 38.53975, 71.67545, 81.938126, 90.277664, 81.65864]","[110.18953, 83.841995, 57.13955, 6.100744, 8.579994, 2.261611, 0.406759, 1.032526, 2.640951, 4.462214, 14.903427, 12.276001, 22.931257, 25.022795, 25.366716, 19.13906]","[804.0361, 628.6211, 372.8076, 77.20087, 82.885605, 16.292883, 4.111288, 6.547606, 17.10499, 33.347115, 93.44299, 76.388756, 142.98148, 160.03572, 170.5931, 136.48463]","[-0.761351, -1.573456, -3.197668, -0.761351, -0.761351, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 2.487076, 8.983927, 8.17182, 10.608141, 13.856565, 18.729204]"
20200101150021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[150.76079, 91.18533, 63.280094, 2.471921, 10.145659, 2.546416, 0.62733, 2.803242, 7.714902, 13.347601, 41.173042, 38.775883, 72.13066, 82.3886, 90.66293, 81.84362]","[117.93277, 93.591125, 63.58581, 6.568752, 9.80078, 2.475096, 0.410207, 1.038937, 2.659281, 4.498423, 15.198154, 12.516283, 23.357765, 25.436554, 25.729544, 19.364817]","[804.0361, 628.6211, 372.8076, 82.0735, 56.086098, 17.10499, 3.299181, 6.547606, 17.917097, 34.97133, 104.00037, 82.0735, 156.7873, 174.65363, 183.58678, 143.79358]","[-0.761351, -2.385563, -4.009775, -0.761351, -0.761351, -0.761351, 0.050756, 0.050756, 0.862864, 0.862864, 2.487076, 9.796034, 7.359712, 9.796034, 13.044458, 17.917097]"
20200101160021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[167.06311, 99.07936, 68.45731, 2.847703, 10.939013, 2.751962, 0.665158, 2.804059, 7.711256, 13.341249, 41.414112, 38.96591, 72.47726, 82.7234, 90.92177, 81.93002]","[116.91637, 95.0807, 64.73417, 7.13886, 9.877495, 2.479661, 0.413993, 1.044657, 2.678946, 4.538161, 15.46108, 12.727559, 23.741632, 25.819925, 26.085361, 19.607138]","[804.0361, 628.6211, 372.8076, 82.885605, 64.20716, 18.729204, 5.7355, 6.547606, 19.541311, 37.407646, 108.06091, 85.32193, 161.65993, 179.52626, 187.64732, 147.042]","[-0.761351, -1.573456, -4.009775, -0.761351, -1.573456, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 2.487076, 9.796034, 7.359712, 9.796034, 13.856565, 17.917097]"
20200101170021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[172.02245, 101.14628, 69.69782, 3.11148, 11.043307, 2.806595, 0.677929, 2.80015, 7.70038, 13.317842, 41.527706, 39.061157, 72.619064, 82.85135, 90.985985, 81.875404]","[114.63166, 94.42598, 64.20156, 7.596488, 9.661748, 2.442856, 0.41722, 1.051369, 2.704112, 4.585835, 15.67646, 12.894627, 24.071804, 26.168524, 26.43317, 19.870993]","[804.0361, 628.6211, 372.8076, 83.697716, 67.45559, 19.541311, 4.923395, 6.547606, 18.729204, 37.407646, 105.624596, 86.94614, 163.28413, 180.33838, 185.21101, 149.47833]","[0.050756, -1.573456, -4.821882, -0.761351, -0.761351, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 2.487076, 9.796034, 7.359712, 9.796034, 13.044458, 17.10499]"
20200101180021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[163.19131, 95.95985, 65.90278, 3.12687, 10.364268, 2.640434, 0.661575, 2.797622, 7.682873, 13.280872, 41.474865, 39.03694, 72.51777, 82.71247, 90.831345, 81.71801]","[112.73675, 91.82813, 62.064835, 7.669304, 9.354083, 2.377154, 0.420497, 1.059916, 2.73369, 4.63906, 15.81598, 12.989186, 24.301025, 26.440706, 26.753788, 20.143963]","[804.0361, 628.6211, 372.8076, 81.2614, 65.01927, 15.480776, 4.111288, 6.547606, 17.917097, 34.159225, 104.00037, 86.13403, 160.84782, 178.71416, 185.21101, 145.4178]","[-0.761351, -1.573456, -4.009775, -0.761351, -0.761351, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 2.487076, 8.983927, 6.547606, 8.983927, 12.232351, 16.292883]"
20200101190021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[142.0215, 84.162636, 57.773567, 2.835707, 9.049043, 2.336934, 0.618924, 2.792096, 7.662033, 13.238451, 41.273727, 38.89827, 72.189026, 82.36611, 90.4963, 81.46206]","[108.79076, 86.345535, 57.866398, 7.088668, 8.808664, 2.277833, 0.414187, 1.06739, 2.757571, 4.680559, 15.825583, 12.974577, 24.343287, 26.537361, 26.918774, 20.314976]","[791.8545, 628.6211, 372.8076, 81.2614, 93.44299, 18.729204, 5.7355, 6.547606, 17.10499, 33.347115, 101.56406, 84.50982, 157.5994, 173.02942, 178.71416, 141.35727]","[-0.761351, -1.573456, -4.821882, -0.761351, -0.761351, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 1.674969, 8.983927, 5.7355, 8.17182, 10.608141, 14.668673]"
20200101200021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[111.26818, 64.84286, 44.32569, 2.322376, 6.924201, 1.841694, 0.582726, 2.787238, 7.648026, 13.208506, 41.039127, 38.74281, 71.80966, 81.98016, 90.13763, 81.22303]","[98.92936, 74.68436, 49.671124, 6.073366, 7.449042, 2.004151, 0.413, 1.072368, 2.771976, 4.70193, 15.735107, 12.896807, 24.219934, 26.45464, 26.903887, 20.358055]","[701.7107, 601.00946, 372.8076, 75.57665, 89.38246, 21.165522, 4.923395, 6.547606, 17.10499, 29.286585, 95.06721, 78.82507, 146.2299, 163.28413, 170.5931, 133.2362]","[-0.761351, -1.573456, -4.009775, -0.761351, -1.573456, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 1.674969, 8.983927, 5.7355, 8.17182, 10.608141, 14.668673]"
