datetime,wavelengths,mean,std,max,min
20200101195743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[0.686514, 0.427155, 44.029633, 39.46776, 75.03554, 86.41326, 73.73574, 0.735511, 0.95303, 3.111447, 13.348809]","[1.732883, 0.2313, 15.960641, 12.253405, 23.729284, 25.648844, 16.92296, 1.84293, 2.417413, 1.11303, 4.555958]","[17.96537, 3.556224, 70.216354, 63.208233, 119.12573, 131.38588, 99.60757, 20.28078, 25.68589, 6.945624, 24.563572]","[0.0, 0.0, 1.901164, 8.628756, 5.535963, 8.447824, 14.184621, 0.0, 0.0, 0.17468, 0.617952]"
20200101205743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[0.532443, 0.417106, 43.86012, 39.366978, 74.827675, 86.224205, 73.69123, 0.500606, 0.675118, 3.114748, 13.354229]","[1.769089, 0.235403, 15.76264, 12.094778, 23.4232, 25.319822, 16.703255, 1.628852, 2.206895, 1.106516, 4.512754]","[18.430193, 3.428171, 69.582634, 63.00031, 111.539406, 126.49505, 99.44996, 20.28078, 27.049498, 6.879078, 24.293219]","[0.0, 0.0, 2.027909, 8.524796, 5.740999, 8.892446, 14.815049, 0.0, 0.0, 0.17468, 0.617952]"
20200101215744,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[0.387596, 0.407869, 43.75095, 39.27835, 74.65837, 86.11953, 73.68707, 0.320049, 0.458123, 3.117217, 13.361277]","[1.869177, 0.264036, 15.579086, 11.94511, 23.125395, 25.012108, 16.491726, 1.557245, 2.214702, 1.099696, 4.467039]","[18.941496, 3.556224, 69.70937, 62.89635, 110.9243, 125.38349, 99.60757, 20.28078, 27.049498, 6.87076, 23.984243]","[0.0, 0.0, 1.77442, 8.524796, 5.535963, 8.670135, 14.342229, 0.0, 0.0, 0.17468, 0.502086]"
20200101225743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[0.220513, 0.393134, 43.58988, 39.148212, 74.43389, 85.87575, 73.63633, 0.18083, 0.272988, 3.11645, 13.359295]","[1.605636, 0.277541, 15.425369, 11.817273, 22.878496, 24.738098, 16.302917, 1.449617, 2.081739, 1.093923, 4.426584]","[19.847898, 3.556224, 69.70937, 62.89635, 110.71926, 124.71656, 99.29235, 20.28078, 27.049498, 6.837487, 23.945621]","[0.0, 0.0, 2.027909, 8.420834, 5.535963, 8.447824, 14.499835, 0.0, 0.0, 0.17468, 0.656574]"
20200101235743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[0.110829, 0.37722, 43.430714, 39.033436, 74.26703, 85.68284, 73.54917, 0.067425, 0.123937, 3.114428, 13.353096]","[1.096238, 0.230852, 15.286106, 11.712799, 22.674114, 24.502905, 16.13148, 0.721986, 1.282008, 1.086789, 4.387028]","[18.56964, 3.556224, 69.2024, 62.792393, 110.71926, 124.938866, 98.977135, 20.28078, 26.659895, 6.904032, 24.061487]","[0.0, 0.0, 2.027909, 8.524796, 5.535963, 8.225512, 14.342229, 0.0, 0.0, 0.17468, 0.617952]"
20200102005744,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[0.14487, 0.376112, 43.3273, 38.956738, 74.11384, 85.58234, 73.53375, 0.089742, 0.158508, 3.113058, 13.3442]","[1.255031, 0.228673, 15.177535, 11.633591, 22.500637, 24.326496, 16.006672, 0.832491, 1.445957, 1.079709, 4.352405]","[18.360468, 3.556224, 69.2024, 62.89635, 110.51423, 124.71656, 98.50432, 20.28078, 26.270294, 6.895714, 23.829754]","[0.0, 0.0, 2.281397, 8.420834, 6.356106, 9.33707, 15.287869, 0.0, 0.0, 0.199635, 0.656574]"
20200102035744,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[0.692217, 0.412484, 43.26476, 38.865574, 74.10929, 85.56381, 73.632385, 0.690068, 0.858506, 3.118645, 13.377229]","[2.096251, 0.273946, 14.822004, 11.384144, 21.944103, 23.689222, 15.605478, 2.025201, 2.546769, 1.061869, 4.253458]","[18.383707, 3.508662, 69.07565, 62.688427, 110.51423, 124.271935, 98.66193, 20.28078, 27.049498, 6.987213, 22.94145]","[0.0, 0.0, 1.901164, 8.524796, 5.330927, 8.670135, 14.657441, 0.0, 0.0, 0.17468, 0.656574]"
20200102045743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[0.819992, 0.420069, 43.529797, 39.04117, 74.48375, 85.95335, 73.78878, 0.855587, 1.066117, 3.12311, 13.413173]","[1.80384, 0.239076, 14.845695, 11.410275, 21.94018, 23.65127, 15.52119, 1.894671, 2.368762, 1.057051, 4.229032]","[17.779442, 3.472075, 68.948906, 62.272587, 110.3092, 123.605, 97.71628, 20.28078, 26.492924, 6.970577, 22.748339]","[0.0, 0.0, 2.027909, 8.524796, 5.740999, 8.670135, 14.342229, 0.0, 0.0, 0.17468, 0.656574]"
20200102055743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[1.080615, 0.438497, 44.027752, 39.329823, 75.18196, 86.65574, 74.09325, 1.126255, 1.430334, 3.128815, 13.448919]","[1.778624, 0.234505, 15.008108, 11.540525, 22.134733, 23.796108, 15.509349, 1.987774, 2.496164, 1.053366, 4.209296]","[17.384342, 3.556224, 74.652405, 62.376545, 116.05019, 130.05202, 99.13474, 20.28078, 21.956844, 6.987213, 23.173182]","[0.0, 0.0, 2.154653, 8.732716, 5.535963, 8.447824, 15.287869, 0.0, 0.0, 0.216271, 0.695195]"
20200102065744,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[1.470342, 0.46837, 44.750774, 39.817204, 76.25174, 87.6516, 74.53566, 1.498323, 1.924752, 3.133834, 13.488065]","[1.940724, 0.247731, 15.315404, 11.815411, 22.56574, 24.154284, 15.599403, 2.184744, 2.756259, 1.051782, 4.201942]","[17.31462, 3.26719, 83.39776, 68.09439, 127.73723, 143.16838, 103.07491, 20.28078, 25.630234, 6.879078, 23.32767]","[0.0, 0.0, 2.534886, 8.836678, 6.561142, 9.559381, 16.548725, 0.0, 0.0, 0.207953, 0.811061]"
